ActiePeriode,PromotieNummer,ArtikelNummer,ArtikelDatum,PromotieOmschrijving,StartDatumPromotie,EindDatumPromotie,Status,VanPrijs,VoorPrijs
1113,158,671711,29/06/92,COINTREAU           70CL,2023-05-18,2023-06-01,40,29.39,26.62
1115,298,111147,29/09/03,COLLE DEL PR.PROSECCO,2023-06-15,2023-06-21,40,12.04,11.68
1113,160,309338,28/06/07,CONDE DE LA SALC. RES'14,2023-05-18,2023-06-01,40,32.45,22.88
1114,155,712205,28/03/00,CONNEMARA IRISH     70CL,2023-06-01,2023-06-14,40,50.77,38.38
1113,163,313068,24/06/91,CORONAS TORRES 2015 75CL,2023-05-18,2023-06-01,40,14.23,10.16
1114,48,741418,18/06/89,COURVOISIER VS      35CL,2023-06-01,2023-06-14,40,25.79,19.88
1116,187,741469,18/06/89,COURVOISIER VS      70CL,2023-06-22,2023-07-05,40,42.87,35.55
1113,164,748536,23/02/06,COURVOISIER VSOP    70CL,2023-05-18,2023-06-01,40,49.7,42.18
1116,188,748536,23/02/06,COURVOISIER VSOP    70CL,2023-06-22,2023-07-05,40,49.7,39.31
1113,165,359963,17/07/14,CRASTO VINH.D TINTO'15,2023-05-18,2023-06-01,40,17.72,16.38
1113,166,359971,17/07/14,CRASTO VINH.D.BRANCO'17,2023-05-18,2023-06-01,40,21.93,21.46
1112,276,359629,11/01/16,CROFT PLAT.RESERVE PORT,2023-05-11,2023-05-17,40,20.11,15.68
1113,747,359629,11/01/16,CROFT PLAT.RESERVE PORT,2023-05-18,2023-06-01,40,20.11,20.11
1113,167,308196,19/08/16,CUNE GRAN RESERVA'10,2023-05-21,2023-05-24,40,33.21,23.46
1113,815,308196,19/08/16,CUNE GRAN RESERVA'10,2023-05-18,2023-05-20,40,33.21,27.17
1113,816,308196,19/08/16,CUNE GRAN RESERVA'10,2023-05-25,2023-06-01,40,33.21,32.12
1113,170,308226,19/08/16,CUNE RIOJA CRIANZA'16,2023-05-18,2023-06-01,40,13.51,9.73
1114,190,308188,19/08/16,CUNE RIOJA RESERVA'15,2023-06-01,2023-06-14,40,20.65,20.49
1113,173,359114,01/05/15,CURVOS AVESSO VIN.VER 17,2023-05-18,2023-06-01,40,11.5,8.11
1114,263,359114,01/05/15,CURVOS AVESSO VIN.VER 17,2023-06-01,2023-06-14,40,11.5,10.94
1114,225,704598,28/07/15,DALWHINNIE WINTERS GOLD,2023-06-01,2023-06-14,40,60.42,56.34
1112,207,704598,28/07/15,DALWHINNIE WINTERS GOLD,2023-05-11,2023-05-17,40,60.42,47.11
1112,98,779016,04/06/03,DAMRAK AMSTERDAM GIN 70C,2023-05-11,2023-05-17,40,37.04,36.52
